access to classified information	– գաղտնի տեղեկություններ ստանալու իրավունք եւ հնարավորություն:
accidental attack	– չնախատեսված հարձակում – հարձակում, որը տեղի է ունենում առանց նախնական պլանավորման՝ որպես պատահական իրադարձության հետեւանք, ինչպես օրինակ տեխնիկական անսարքությունը, մարդու կողմից թույլ տրված սխալը կամ ստորադրյալի չարտոնված գործողությունը:
accountability	– գույքի, փաստաթղթերի կամ դրամական միջոցների ճշգրիտ հաշվառում տանելու իրավական պարտավորություն:
advance guard	– առաջապահ ջոկատ - հիմնական ուժերից առաջ ուղարկվող ջոկատ,  որի նպատակն է ապահովել հիմնական ուժերի անխափան առաջխաղացումը, պաշտպանել նրանց հանկարծակի հարձակումներից, վերացնել առաջխաղացման խոչընդոտները:
aerospace defense	– աերոտիեզերական պաշտպանություն - 1. պաշտպանական համակարգ, որի նպատակն է ոչնչացնել կամ չեզոքացնել հակառակորդի հարձակվող ինքնաթիռները կամ հրթիռները:  2. հասկացություն, որն իր մեջ ներառում է ռազմաօդային պաշտպանությունը, հակահրթիռային պաշտպանությունը եւ տիեզերական  պաշտպանությունը:
agent	– գործակալ - անձ, որն իրավասու է հայթայթել հետախուզական կամ հակահետախուզական տեղեկություններ:
agent authentication	– տեխնիկական աջակցություն գործակալին, որի նպատակն է վերջինիս ապահովել հանձնարարության կատարման համար անհրաժեշտ անձնական փաստաթղթերով, հանդերձանքով եւ սարքավորումներով:
agent net	– գործակալական ցանց - գաղտնի գործունեությամբ զբաղվող կազմակերպություն, որը գործում է գլխավոր գործակալի ղեկավարությամբ:
aggressor forces	– ագրեսոր ուժեր - զինված ուժեր, որոնք իրականացնում են ագրեսիվ ռազմական գործողություն:
airborne alert	– ռազմական ինքնաթիռների պատրաստության վիճակ, երբ սպառազինված ինքնաթիռները պատրաստ են անհապաղ թռիչքի:
air cartographic camera	– լուսանկարչական սարք, որն օժտված է ավիացիոն քարտեզագրման եւ չափագրման նպատակներով լուսանակարում կատարելու համար անհրաժեշտ կարողություններով:
air cartographic photography	– քարտեզագրման եւ չափագրման  նպատակներով իրականացվող ավիացիոն լուսանկարում:
air corridor	– օդային միջանցք -  օդային երթեւեկի սահմանափակ տարածությամբ ուղի, որը նախատեսված է յուրային ինքնաթիռների համար, նպատակ ունենալով նրանց զերծ պահել սեփական զինուժի գնդակոծումից:
air defense	– ռազմաօդային պաշտպանություն - պաշտպանական համակարգ, որի նպատակն է մթնոլորտում ոչնչացնել հակառակորդի հարձակվող ինքնաթիռները կամ հրթիռները, կամ չեզոքացնել ու նվազեցնել հակառակաորդի նման հարձակման արդյունավետությունը:  
air defense artillery	– զենիթային հրետանի - օդային թիրախների դեմ  գետնի վրայից պայքարելու համար հրետանի եւ սարքավորումներ:
airdrop	– օդանավի թռիչքում գտնվելու ընթացքում զինծառայողների կամ բեռների  պարաշյուտային վայրէջք:
air sovereignty	– ինքնիշխանություն օդային տարածքի նկատմամբ - պետության անքակտելի իրավունքը բացարձակ վերահսկողություն եւ իշխանություն իրականացնելու իր ցամաքային տարածքի վրա գտնվող օդային տարածության նկատմամբ:
air supremacy	– օդային գերակայություն - օդային տարածքի նկատմամբ այնպիսի ռազմական առավելություն, երբ հակառակորդի օդուժը ի վիճակի չէ իրականացնել արդյունավետ միջամտություն:
alliance	– դաշինք - երկու կամ ավելի պետությունների միջեւ հաստատված հարաբերություն, որը հիմնվում է պաշտոնական համաձայնագրի վրա եւ ծառայում է այդ պետությունների ընդհանուր շահերին:
alternate airfield	– պահեստային օդանավակայան - օդանավի թռիչքի պլանում նախատեսված հնարավոր վայրեջքի վայր, որը հանգամանքների փոփոխության դեպքում կարող է ծառայել որպես սկզբնապես ծրագրավորված օդանավակայանին փոխարինող վայր:  
annex	– հավելված - փաստաթուղթ, որը պարզաբանման կամ լրացուցիչ մանրամասներ տրամադրելու նպատակով կցվում է հրամանին կամ մեկ այլ փաստաթղթի:
antiarmor helicopter	– հակազրահային ուղղաթիռ, հակատանկային ուղղաթիռ – ուղղաթիռ, որը սպառազինված է գլխավորապես զրահապատ թիրախներ ոչնչացնելու համար:
antipersonnel mine	– հակահետեւակային բեկորային ական:
antitank mine	– հակատանկային ական:
antiterrorism	– հակաահաբեկչական գործունեություն - ռազմական եւ քաղաքացիական ուժերի պաշտպանական բնույթի միջոցառումներ, որոնք ուղղված են ահաբեկչական հարձակումից անձանց եւ գույքի խոցելիությունը բացառելուն կամ նվազեցնելուն:
appendix	– լրացում - փաստաթուղթ, որը պարզաբանման կամ լրացուցիչ մանրամասներ տրամադրելու նպատակով կցվում է հրամանի կամ մեկ այլ փաստաթղթի հավելվածին:
architecture	– որեւէ համակարգի կամ գործունեության տարրերի միջեւ հարաբերությունները պատկերող  հիմնակմախք կամ կառուցվածք:
area bombing	– տարածքի ռմբակոծում - այնպիսի թիրախի ռմբակոծում, որն իրենից ներկայացնում է լայնածավալ տարածք, այլ ոչ թե առանձին փոքր թիրախ:
area of responsibility	– պատասխանատվության տարածք - աշխարհագրական այն տարածքը, որի սահմաններում հրամանատարությունն իրավասու է պլանավորել եւ իրականացնել գործողություններ:
area oriented	– զինծառայողներ կամ ստորաբաժանումներ, որոնց կառուցվածքը, առաքելությունը, պատրաստվածությունը, հանդերձանքն ու սպառազինությունը համապատասխանեցված են որոշակի աշխարհագրական կամ ազգագրական տարածքում գործողություններ իրականացնելու խնդիրներին:
armed forces	–  պետության կամ պետությունների խմբի զինված ուժերը:
armistice	– զինադադար - հակամարտող ուժերի միջեւ կայացված համաձայնության հիման վրա պատերազմական գործողությունների կասեցումը կամ ժամանակավոր դադարեցումը:
arms control agreement	–  սպառազինությունների նկատմամբ վերահսկողության  միջոցառումների շուրջ երկու կամ ավելի պետությունների միջեւ կայացած համաձայնություն:
assault	– 1. հարձակման գագաթնակետը, որն ավարտվում է հակառակորդի հետ ձեռնամարտով: 2. Կարճատեւ, վճռական եւ լավ կազմակերպված հարձակում տեղական նշանակության խնդրի լուծման նպատակով: 
assault fire	–  1.հարձակվող զորամիավորման կողմից հակառակորդին մոտենալիս բացվող կրակ: 2. Հրետանու կողմից փոքր տիրույթում գտնվող ոչ մեծ թիրախների ոչնչացմանն ուղղված ճշգրիտ հրետակոծում: 
